title	short_name	old_cluster	type	group	width	path
Fibroblast	Fib	5	ATAC	1	2000	/oak/stanford/groups/akundaje/surag/projects/scATAC-reprog/clusters/20200518_n76052/croo/cluster_idx5/signal/rep1/cluster_idx5.fc.signal.bigwig
Fibroblast	Fib	NA	H3K4me2	1	4000	/oak/stanford/groups/akundaje/surag/GEO/GSE62777/croo/hiF-T_P15_H3K4me2/signal/pooled-rep/basename_prefix.pooled_x_SRR2106008.nodup.fc.signal.bigwig
Keratinocyte-like	Ker	9	ATAC	2	2000	/oak/stanford/groups/akundaje/surag/projects/scATAC-reprog/clusters/20200518_n76052/croo/cluster_idx9/signal/rep1/cluster_idx9.fc.signal.bigwig
Neural-like	Neu	17	ATAC	2	2000	/oak/stanford/groups/akundaje/surag/projects/scATAC-reprog/clusters/20200518_n76052/croo/cluster_idx17/signal/rep1/cluster_idx17.fc.signal.bigwig
Early Intermediate	Int	14	ATAC	2	2000	/oak/stanford/groups/akundaje/surag/projects/scATAC-reprog/clusters/20200518_n76052/croo/cluster_idx14/signal/rep1/cluster_idx14.fc.signal.bigwig
OCT4	OCT4	NA	ChIP	2	2000	/oak/stanford/groups/akundaje/surag/GEO/GSE36570/croo/SRR445816/signal/rep1/SRR445816.filt_x_ctl_for_rep1.fc.signal.bigwig
SOX2	SOX2	NA	ChIP	2	2000	/oak/stanford/groups/akundaje/surag/GEO/GSE36570/croo/SRR445817/signal/rep1/SRR445817.filt_x_ctl_for_rep1.fc.signal.bigwig
KLF4	KLF4	NA	ChIP	2	2000	/oak/stanford/groups/akundaje/surag/GEO/GSE36570/croo/SRR445818/signal/rep1/SRR445818.filt_x_ctl_for_rep1.fc.signal.bigwig
cMYC	cMYC	NA	ChIP	2	2000	/oak/stanford/groups/akundaje/surag/GEO/GSE36570/croo/SRR445819/signal/rep1/SRR445819.filt_x_ctl_for_rep1.fc.signal.bigwig
Neural-like	Neu	16	ATAC	3	2000	/oak/stanford/groups/akundaje/surag/projects/scATAC-reprog/clusters/20200518_n76052/croo/cluster_idx16/signal/rep1/cluster_idx16.fc.signal.bigwig
Intermediate	Int	1	ATAC	3	2000	/oak/stanford/groups/akundaje/surag/projects/scATAC-reprog/clusters/20200518_n76052/croo/cluster_idx1/signal/rep1/cluster_idx1.fc.signal.bigwig
D5	D5	NA	H3K4me2	3	4000	/oak/stanford/groups/akundaje/surag/GEO/GSE62777/croo/5dd_DOX_plus_H3K4me2/signal/pooled-rep/basename_prefix.pooled_x_SRR2106022.nodup.fc.signal.bigwig
Pre-iPSC (D12)	Pre	2	ATAC	4	2000	/oak/stanford/groups/akundaje/surag/projects/scATAC-reprog/clusters/20200518_n76052/croo/cluster_idx2/signal/rep1/cluster_idx2.fc.signal.bigwig
Pre-iPSC (D14)	Pre	10	ATAC	4	2000	/oak/stanford/groups/akundaje/surag/projects/scATAC-reprog/clusters/20200518_n76052/croo/cluster_idx10/signal/rep1/cluster_idx10.fc.signal.bigwig
D24-DOX	D24-DOX	NA	H3K4me2	4	4000	/oak/stanford/groups/akundaje/surag/GEO/GSE62777/croo/24dd_TRA_pos_DOX_plus_H3K4me2/signal/pooled-rep/basename_prefix.pooled_x_SRR2106042.nodup.fc.signal.bigwig
iPSC	iPSC	18	ATAC	5	2000	/oak/stanford/groups/akundaje/surag/projects/scATAC-reprog/clusters/20200518_n76052/croo/cluster_idx18/signal/rep1/cluster_idx18.fc.signal.bigwig
iPSC	iPSC	NA	H3K4me2	5	4000	/oak/stanford/groups/akundaje/surag/GEO/GSE62777/croo/hIPSC-T_P10_H3K4me2/signal/rep1/SRR2106012.nodup_x_ctl_for_rep1.fc.signal.bigwig
